Time,AccelX_g,AccelY_g,AccelZ_g,GyroX_deg_per_s,GyroY_deg_per_s,GyroZ_deg_per_s,AngleX_deg,AngleY_deg,AngleZ_deg,MagX_uT,MagY_uT,MagZ_uT
 20:35:15.539, -0.048, 0.018, -1.002, -0.122, 4.822, 0.122, 178.863, 2.884, -35.722, -26.475, -37.058, 9.050,
 20:35:15.648, -0.048, 0.022, -1.000, 0.000, 0.122, 0.610, 178.868, 2.944, -35.760, -26.475, -37.192, 9.250,
 20:35:15.742, -0.048, 0.018, -1.004, 0.000, -0.488, 0.366, 178.874, 2.889, -35.755, -26.417, -37.258, 8.758,
 20:35:15.836, -0.050, 0.017, -1.003, -0.061, 0.610, -0.061, 178.874, 2.900, -35.760, -26.417, -37.308, 8.817,
 20:35:15.944, -0.047, 0.016, -1.002, -0.061, -0.305, 0.000, 178.879, 2.906, -35.760, -26.375, -37.342, 8.783,
 20:35:16.035, -0.050, 0.016, -1.004, 0.000, -0.122, 0.000, 178.879, 2.884, -35.744, -26.367, -37.358, 8.667,
 20:35:16.144, -0.047, 0.018, -1.001, -0.122, 0.122, 0.000, 178.879, 2.895, -35.750, -26.458, -37.417, 8.517,
 20:35:16.237, -0.050, 0.017, -1.002, -0.061, -0.183, 0.061, 178.885, 2.884, -35.755, -26.433, -37.467, 8.483,
 20:35:16.332, -0.048, 0.018, -1.002, -0.122, 0.122, 0.000, 178.885, 2.878, -35.755, -26.392, -37.425, 8.617,
 20:35:16.441, -0.048, 0.017, -1.002, 0.000, 0.000, 0.000, 178.890, 2.878, -35.750, -26.367, -37.408, 8.508,
 20:35:16.533, -0.049, 0.017, -1.003, -0.061, 0.000, 0.000, 178.890, 2.873, -35.755, -26.475, -37.375, 8.525,
 20:35:16.645, -0.048, 0.019, -1.002, -0.122, 0.061, 0.000, 178.890, 2.867, -35.755, -26.425, -37.350, 8.683,
 20:35:16.737, -0.049, 0.017, -1.002, 0.000, -0.122, 0.000, 178.896, 2.867, -35.755, -26.350, -37.333, 8.683,
 20:35:16.830, -0.048, 0.018, -1.003, -0.061, -0.061, 0.000, 178.896, 2.867, -35.755, -26.333, -37.258, 8.558,
 20:35:16.939, -0.048, 0.017, -1.002, -0.061, -0.061, 0.000, 178.901, 2.862, -35.760, -26.367, -37.183, 8.800,
 20:35:17.034, -0.048, 0.018, -1.002, -0.122, 0.000, 0.000, 178.901, 2.862, -35.766, -26.358, -37.325, 8.583,
 20:35:17.146, -0.048, 0.016, -1.003, -0.061, 0.000, 0.000, 178.907, 2.856, -35.771, -26.442, -37.208, 8.542,
 20:35:17.236, -0.049, 0.018, -1.003, 0.000, -0.061, 0.000, 178.907, 2.856, -35.782, -26.567, -37.283, 8.675,
 20:35:17.330, -0.049, 0.016, -1.002, 0.000, -0.061, 0.000, 178.912, 2.851, -35.799, -26.475, -37.175, 8.608,
 20:35:17.439, -0.049, 0.017, -1.002, -0.061, 0.000, 0.000, 178.912, 2.845, -35.804, -26.475, -37.300, 8.725,
 20:35:17.533, -0.050, 0.016, -1.002, 0.000, -0.122, 0.000, 178.912, 2.845, -35.804, -26.433, -37.275, 8.558,
